icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
39de4f,TVF3422 ,France,1750795651,1750795651,28.0646,41.3072,3246.12,False,149.21,180.99,-6.83,,3451.86,0665,False,0,2025-06-24T20:07:32
39de4e,TVF3650 ,France,1750795651,1750795651,22.8528,39.6502,11887.2,False,238.82,153.93,-0.33,,12489.18,,False,0,2025-06-24T20:07:32
39de4b,TVF8152 ,France,1750795651,1750795652,7.5146,43.3131,11894.82,False,233.13,167.25,-0.33,,12512.04,7620,False,0,2025-06-24T20:07:32
39de4a,TVF61CC ,France,1750795651,1750795651,-0.4807,44.2761,11422.38,False,242.88,18.4,-5.2,,12016.74,1000,False,0,2025-06-24T20:07:32
39de4d,TVF8099 ,France,1750795650,1750795650,2.3632,48.7229,,True,6.43,320.62,,,,1000,False,0,2025-06-24T20:07:32
39de4c,TVF3287 ,France,1750795651,1750795651,9.7167,45.6514,10972.8,False,225.15,282.67,0.0,,11544.3,0263,False,0,2025-06-24T20:07:32
407a38,NPT905  ,United Kingdom,1750795651,1750795651,-1.1038,51.8791,5181.6,False,145.33,5.89,-0.33,,5387.34,1233,False,0,2025-06-24T20:07:32
511153,TVS2881 ,Estonia,1750795650,1750795651,17.9529,48.8331,4251.96,False,159.69,297.64,-4.88,,4465.32,1000,False,0,2025-06-24T20:07:32
39de45,TVF67BM ,France,1750795651,1750795652,2.7685,43.1013,9151.62,False,222.3,175.89,-4.88,,9707.88,1000,False,0,2025-06-24T20:07:32
39de48,TVF69WD ,France,1750795651,1750795651,13.1754,51.9252,5120.64,False,196.07,45.32,-6.18,,5280.66,1000,False,0,2025-06-24T20:07:32
39de49,TVF71UG ,France,1750795651,1750795651,2.9212,44.7307,11871.96,False,218.05,183.65,-0.33,,12481.56,1000,False,0,2025-06-24T20:07:32
39de40,TVF86LY ,France,1750795651,1750795651,-3.8497,44.9725,11277.6,False,204.23,217.01,-0.33,,11788.14,7676,False,0,2025-06-24T20:07:32
39de44,TVF31HD ,France,1750795651,1750795651,0.8902,46.0648,11887.2,False,209.3,210.09,0.0,,12435.84,7643,False,0,2025-06-24T20:07:32
44028c,EJU5354 ,Austria,1750795651,1750795651,13.5778,52.3714,297.18,False,67.86,250.05,-3.25,,320.04,3614,False,0,2025-06-24T20:07:32
511189,MBU6CZ  ,Estonia,1750795651,1750795651,9.0262,43.9959,11590.02,False,239.45,30.75,0.0,,12192.0,1000,False,0,2025-06-24T20:07:32
4acb04,NSZ2097 ,Sweden,1750793332,1750795648,20.9374,52.8782,5943.6,False,246.24,40.68,0.0,,12207.24,0436,False,0,2025-06-24T20:07:32
