icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp,flight_id,route_id,aircraft_id,flight_day,departure_time,arrival_time,status,delay_reason,delay_minutes,fixed_cost,origin_airport_code,destination_airport_code,distance_miles,region,route_category,flight_time_minutes
484b2a,TRA6509 ,Kingdom of the Netherlands,1751992059,1751992059,5.3878,51.4574,,True,0.0,33.75,,,,,False,0,2025-07-08T16:28:42,FL6238,RT6474,AC2808,2025-06-19,2025-06-19T15:45:00,2025-06-19T18:15:00,on-time,,0,7913.78,BOS,MIA,1258,Domestic,Medium-haul,150
4d20b5,AJD18FJ ,Malta,1751992118,1751992118,24.8133,59.4168,,True,1.03,272.81,,,,,False,0,2025-07-08T16:28:42,FL7070,RT9374,AC4686,2025-06-19,2025-06-19T12:45:00,2025-06-20T05:38:00,delayed,weather,95,28547.16,SFO,SIN,8446,International,Long-haul,1013
4d2290,RYR81RD ,Malta,1751992116,1751992119,14.4308,38.6567,9372.6,False,220.56,176.66,-4.23,,9898.38,,False,0,2025-07-08T16:28:42,FL5911,RT6565,AC9250,2025-06-19,2025-06-19T18:00:00,2025-06-19T20:02:00,delayed,supplier,96,7880.69,SEA,DEN,1024,Domestic,Medium-haul,122
398df8,,France,1751992083,1751992083,4.9027,43.9037,,True,5.14,140.62,,,,,False,0,2025-07-08T16:28:42,FL2540,RT4447,AC7608,2025-06-19,2025-06-19T18:00:00,2025-06-19T22:57:00,on-time,,0,9162.25,JFK,LAX,2475,Domestic,Medium-haul,297
39d2ad,AFR199  ,France,1751992117,1751992119,2.8198,49.0062,914.4,False,97.54,265.46,-5.2,,1021.08,1000,False,0,2025-07-08T16:28:42,FL6943,RT6259,AC4266,2025-06-19,2025-06-19T20:30:00,2025-06-20T03:45:00,on-time,,0,19319.24,JFK,CDG,3625,International,Long-haul,435
342107,IBE08WZ ,Spain,1751992117,1751992119,13.762,49.3881,7200.9,False,207.67,41.79,-9.1,,7322.82,1000,False,0,2025-07-08T16:28:42,FL5783,RT6474,AC5682,2025-06-19,2025-06-19T11:15:00,2025-06-19T13:45:00,on-time,,0,7986.68,BOS,MIA,1258,Domestic,Medium-haul,150
3c564f,VJH632  ,Germany,1751992122,1751992122,27.0795,38.2957,10668.0,False,267.18,120.17,0.0,,11353.8,6630,False,0,2025-07-08T16:28:42,FL6990,RT6474,AC7432,2025-06-19,2025-06-19T05:15:00,2025-06-19T07:45:00,delayed,supplier,26,7442.9,BOS,MIA,1258,Domestic,Medium-haul,150
408230,GECHL   ,United Kingdom,1751992121,1751992122,0.0833,50.7565,571.5,False,80.35,80.42,0.33,,670.56,1177,False,0,2025-07-08T16:28:42,FL4196,RT6259,AC4266,2025-06-19,2025-06-19T12:45:00,2025-06-19T20:00:00,on-time,,0,18416.82,JFK,CDG,3625,International,Long-haul,435
471f67,WZZ6PZ  ,Hungary,1751992121,1751992122,0.0301,43.1336,10668.0,False,223.04,226.21,0.0,,11216.64,1000,False,0,2025-07-08T16:28:42,FL6264,RT6259,AC4686,2025-06-19,2025-06-19T22:00:00,2025-06-20T05:15:00,on-time,,0,18579.56,JFK,CDG,3625,International,Long-haul,435
3005e2,LSA901  ,Italy,1751992117,1751992119,25.0094,42.2037,11879.58,False,284.09,80.73,0.0,,12504.42,1253,False,0,2025-07-08T16:28:42,FL3304,RT5358,AC7459,2025-06-19,2025-06-19T16:45:00,2025-06-19T20:26:00,delayed,weather,44,8565.75,SFO,ORD,1846,Domestic,Medium-haul,221
