icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp,flight_id,flight_day_x,route_id,aircraft_id,flight_day_y,departure_time,arrival_time,status,delay_reason,delay_minutes,fixed_cost,origin_airport_code,destination_airport_code,distance_miles,region,route_category,flight_time_minutes
4031e3,,United Kingdom,1751470726,1751470737,-1.6912,51.0341,723.9,False,54.54,64.89,0.0,,838.2,,False,0,2025-07-02T15:42:30,FL2734,2025-06-29,RT6259,AC4709,2025-06-29,2025-06-29T09:15:00,2025-06-29T16:30:00,delayed,weather,19,18445.27,JFK,CDG,3625,International,Long-haul,435
48c8e1,SPTHB   ,Poland,1751470948,1751470950,16.725,53.2415,518.16,False,78.94,35.45,-1.63,,601.98,7000,False,0,2025-07-02T15:42:30,FL1573,2025-06-29,RT4447,AC2808,2025-06-29,2025-06-29T05:30:00,2025-06-29T10:27:00,on-time,,0,9886.44,JFK,LAX,2475,Domestic,Medium-haul,297
471f54,WMT3BY  ,Hungary,1751470944,1751470949,22.2834,45.8162,8831.58,False,235.92,216.84,6.5,,9334.5,4133,False,0,2025-07-02T15:42:30,FL1990,2025-06-29,RT6259,AC4686,2025-06-29,2025-06-29T11:15:00,2025-06-29T18:30:00,on-time,,0,19506.71,JFK,CDG,3625,International,Long-haul,435
407f2b,BAW9CG  ,United Kingdom,1751470950,1751470950,-4.0607,54.1932,10972.8,False,251.02,302.62,0.33,,11117.58,7022,False,0,2025-07-02T15:42:30,FL4876,2025-06-29,RT4447,AC7432,2025-06-29,2025-06-29T12:45:00,2025-06-29T17:42:00,delayed,crew,38,9278.3,JFK,LAX,2475,Domestic,Medium-haul,297
405e23,TOM40X  ,United Kingdom,1751470949,1751470950,20.5769,44.0391,11277.6,False,240.17,122.67,0.0,,11864.34,5535,True,0,2025-07-02T15:42:30,FL2644,2025-06-29,RT9374,AC4266,2025-06-29,2025-06-29T18:45:00,2025-06-30T11:38:00,on-time,,0,32268.8,SFO,SIN,8446,International,Long-haul,1013
896189,UAE87Q  ,United Arab Emirates,1751470950,1751470950,9.9763,47.6915,5775.96,False,223.65,77.24,6.18,,6111.24,3037,False,0,2025-07-02T15:42:30,FL1832,2025-06-29,RT6259,AC8469,2025-06-29,2025-06-29T08:15:00,2025-06-29T15:30:00,delayed,crew,15,18168.93,JFK,CDG,3625,International,Long-haul,435
4911f7,TES231  ,Portugal,1751470949,1751470949,4.1079,51.3801,10050.78,False,240.61,18.71,0.0,,10500.36,5366,False,0,2025-07-02T15:42:30,FL3271,2025-06-29,RT9374,AC4266,2025-06-29,2025-06-29T06:45:00,2025-06-29T23:38:00,on-time,,0,29959.28,SFO,SIN,8446,International,Long-haul,1013
440592,GAC237U ,Austria,1751470949,1751470949,14.6502,48.4444,7795.26,False,183.14,242.93,-5.2,,8229.6,1000,False,0,2025-07-02T15:42:30,FL3756,2025-06-29,RT7502,AC7608,2025-06-29,2025-06-29T05:15:00,2025-06-29T06:42:00,on-time,,0,6489.22,ATL,DFW,732,Domestic,Short-haul,87
484354,P4GKF   ,Kingdom of the Netherlands,1751470892,1751470892,20.7508,42.6998,12496.8,False,273.61,158.84,0.0,,13152.12,0507,True,0,2025-07-02T15:42:30,FL5301,2025-06-29,RT6474,AC9250,2025-06-29,2025-06-29T10:00:00,2025-06-29T12:30:00,on-time,,0,8055.8,BOS,MIA,1258,Domestic,Medium-haul,150
4404a4,EJU71WC ,Austria,1751470699,1751470699,8.7314,45.5999,281.94,False,74.96,348.92,-3.9,,373.38,5503,False,0,2025-07-02T15:42:30,FL7328,2025-06-29,RT6474,AC9894,2025-06-29,2025-06-29T04:30:00,2025-06-29T07:00:00,on-time,,0,7687.54,BOS,MIA,1258,Domestic,Medium-haul,150
484b90,KLM941  ,Kingdom of the Netherlands,1751470928,1751470928,-3.8528,55.6826,2392.68,False,133.02,284.79,-5.2,,2499.36,7346,False,0,2025-07-02T15:42:30,FL9566,2025-06-29,RT4447,AC7459,2025-06-29,2025-06-29T14:30:00,2025-06-29T19:27:00,on-time,,0,9439.51,JFK,LAX,2475,Domestic,Medium-haul,297
