icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,flight_id,route_id,aircraft_id,flight_day,departure_time,arrival_time,status,delay_reason,delay_minutes,fixed_cost,ingestion_time,origin_airport_code,destination_airport_code,distance_miles,region,route_category,flight_time_minutes
4cac0f,KZR922  ,Ireland,1753297265,1753297265,20.6987,46.9641,11277.6,False,255.14,116.46,-0.33,,11750.04,7647,False,0,FL2015,RT6421,AC2692,2025-04-25,2025-04-25T18:15:00,2025-04-25T19:42:00,delayed,crew,25,7251.24,2025-07-23T14:17:10.475267,ATL,DFW,732,Domestic,Short-haul,87
4cafc3,RYR13ZW ,Ireland,1753297322,1753297322,1.333,48.5615,10668.0,False,226.66,226.01,0.33,,10850.88,,False,0,FL7747,RT5145,AC7731,2025-04-25,2025-04-25T14:00:00,2025-04-25T21:15:00,on-time,,0,18706.46,2025-07-23T14:17:10.475554,JFK,CDG,3625,International,Long-haul,435
320052,I2321   ,Italy,1753297199,1753297199,12.5608,41.3723,342.9,False,104.38,354.63,0.0,,381.0,,False,0,FL5408,RT6027,AC2692,2025-04-25,2025-04-25T11:45:00,2025-04-25T16:42:00,on-time,,0,9774.62,2025-07-23T14:17:10.475843,JFK,LAX,2475,Domestic,Medium-haul,297
4cae1c,ITY897  ,Ireland,1753297197,1753297197,12.3887,42.0733,2042.16,False,140.1,342.7,-5.53,,2194.56,,False,0,FL7495,RT6772,AC6692,2025-04-25,2025-04-25T18:15:00,2025-04-25T20:45:00,on-time,,0,7614.55,2025-07-23T14:17:10.476133,BOS,MIA,1258,Domestic,Medium-haul,150
40092b,LOG31AW ,United Kingdom,1753297197,1753297197,-2.069,53.6481,1828.8,False,125.89,118.03,0.0,,1935.48,6313,False,0,FL6151,RT6628,AC5545,2025-04-25,2025-04-25T06:45:00,2025-04-25T10:26:00,on-time,,0,8142.21,2025-07-23T14:17:10.476419,SFO,ORD,1846,Domestic,Medium-haul,221
4892c4,ENT8UW  ,Poland,1753297199,1753297199,6.11,41.4823,11277.6,False,205.9,225.4,0.33,,11803.38,1000,False,0,FL2469,RT6421,AC5387,2025-04-25,2025-04-25T19:15:00,2025-04-25T20:42:00,delayed,weather,154,4263.3,2025-07-23T14:17:10.476715,ATL,DFW,732,Domestic,Short-haul,87
4ca8d5,RYR4YL  ,Ireland,1753297213,1753297213,4.9617,49.3612,6004.56,False,177.01,74.15,-4.88,,6172.2,3371,False,0,FL7016,RT6772,AC9548,2025-04-25,2025-04-25T20:00:00,2025-04-25T22:30:00,on-time,,0,7309.11,2025-07-23T14:17:10.477013,BOS,MIA,1258,Domestic,Medium-haul,150
4691c8,AEE665  ,Greece,1753297213,1753297213,13.3232,42.9507,10660.38,False,254.28,124.37,-0.33,,11178.54,,False,0,FL7613,RT6628,AC4392,2025-04-25,2025-04-25T04:15:00,2025-04-25T07:56:00,on-time,,0,8655.0,2025-07-23T14:17:10.477307,SFO,ORD,1846,Domestic,Medium-haul,221
4bb86a,PGT1866 ,Turkey,1753297181,1753297198,28.7505,37.704,8869.68,False,237.76,122.45,3.58,,9456.42,,False,0,FL6805,RT6628,AC6692,2025-04-26,2025-04-26T18:30:00,2025-04-26T22:11:00,on-time,,0,8714.75,2025-07-23T14:17:10.472926,SFO,ORD,1846,Domestic,Medium-haul,221
471f6e,WMT7209 ,Hungary,1753297199,1753297199,7.2038,43.6517,38.1,False,75.3,44.72,-3.25,,83.82,1000,False,0,FL3363,RT7144,AC7731,2025-04-26,2025-04-26T11:00:00,2025-04-27T03:53:00,on-time,,0,31783.84,2025-07-23T14:17:10.473215,SFO,SIN,8446,International,Long-haul,1013
