order_id,supplier_id,supplier,category,part,order_date,expected_delivery,status,delay_days,cost_usd,flight_id,flight_day,recorded_at
ORD-1bbe2c42,SUP-001,AeroParts Inc.,meals,non-veg meal,2025-06-03,2025-07-01,on-time,0,17015.14,FL2769,2025-07-21,2025-06-26T21:32:24.938978
ORD-7e1ff100,SUP-002,SkyMeals Co.,meals,snack box,2025-06-04,2025-07-08,on-time,0,6487.49,FL2769,2025-06-26,2025-06-26T21:32:24.939170
ORD-f2e0b4fd,SUP-003,FlightTech Solutions,tech,radar module,2025-06-16,2025-07-08,delayed,1,3483.17,FL0061,2025-07-03,2025-06-26T21:32:24.939218
ORD-4652b70f,SUP-003,FlightTech Solutions,tech,wifi router,2025-06-15,2025-07-04,on-time,0,7130.89,FL0061,2025-07-21,2025-06-26T21:32:24.939260
ORD-16e21e63,SUP-001,AeroParts Inc.,tech,radar module,2025-06-25,2025-07-03,lost,0,7690.14,FL2045,2025-07-07,2025-06-26T21:32:24.939302
ORD-05dd836d,SUP-001,AeroParts Inc.,meals,veg meal,2025-06-13,2025-07-01,delayed,6,11683.6,FL2045,2025-07-07,2025-06-26T21:32:24.939343
ORD-835d29eb,SUP-003,FlightTech Solutions,parts,hydraulic pump,2025-06-25,2025-06-30,on-time,0,12342.64,FL3257,2025-06-26,2025-06-26T21:32:24.939385
ORD-8fe541ce,SUP-003,FlightTech Solutions,meals,veg meal,2025-06-21,2025-07-06,on-time,0,18096.07,FL3257,2025-07-18,2025-06-26T21:32:24.939425
ORD-fdf53063,SUP-001,AeroParts Inc.,parts,landing gear,2025-05-31,2025-07-02,backordered,3,4474.94,FL6069,2025-07-16,2025-06-26T21:32:24.939465
ORD-ab7daad2,SUP-002,SkyMeals Co.,parts,engine valve,2025-06-09,2025-07-04,backordered,3,18211.04,FL6069,2025-07-20,2025-06-26T21:32:24.939505
