order_id,supplier_id,supplier,service_type,flight_id,aircraft_id,order_date,expected_delivery,supplier_flagged,cost_usd,flight_day,recorded_at
ORD-c0b9b925,S001,Reed-Houston AeroFuel,Fuel,FL4549,AC7459,2025-07-03,2025-07-10,False,2481.72,2025-06-12,2025-07-08T16:29:04.643258
ORD-aac44465,S004,Morris Inc Aircraft Maintenance,Maintenance,FL4549,AC7459,2025-06-22,2025-07-10,False,9884.13,2025-06-12,2025-07-08T16:29:04.643290
ORD-237c4da1,S009,"Heath, Collins and Williams Inflight Catering",Catering,FL4549,AC7459,2025-06-27,2025-07-11,False,6138.54,2025-06-12,2025-07-08T16:29:04.643322
ORD-528a060f,S003,Barker LLC Fuel Systems,Fuel,FL5212,AC7608,2025-06-17,2025-07-20,False,1262.67,2025-06-12,2025-07-08T16:29:04.643399
ORD-a6639e1f,S005,Zamora-Robinson AeroTech,Maintenance,FL5212,AC7608,2025-06-18,2025-07-13,False,5558.51,2025-06-12,2025-07-08T16:29:04.643430
ORD-dddd77f3,S008,Robinson Inc JetBites,Catering,FL5212,AC7608,2025-06-26,2025-07-09,False,6811.05,2025-06-12,2025-07-08T16:29:04.643461
ORD-bc9ce2f0,S003,Barker LLC Fuel Systems,Fuel,FL2713,AC7421,2025-06-19,2025-07-08,False,1735.54,2025-06-12,2025-07-08T16:29:04.643534
ORD-aa0ad6b4,S006,Pratt-Stone Avionics Services,Maintenance,FL2713,AC7421,2025-07-03,2025-07-10,False,6704.55,2025-06-12,2025-07-08T16:29:04.643565
ORD-448b351f,S010,"Haley, Stone and Riddle Inflight Catering",Catering,FL2713,AC7421,2025-06-13,2025-07-13,False,7755.29,2025-06-12,2025-07-08T16:29:04.643611
ORD-feba7229,S002,"Flores, Novak and Morton Aviation Energy",Fuel,FL9825,AC7608,2025-06-23,2025-07-22,False,2305.9,2025-06-12,2025-07-08T16:29:04.643707
ORD-164f528b,S004,Morris Inc Aircraft Maintenance,Maintenance,FL9825,AC7608,2025-06-16,2025-07-21,False,9023.92,2025-06-12,2025-07-08T16:29:04.643741
ORD-85057456,S010,"Haley, Stone and Riddle Inflight Catering",Catering,FL9825,AC7608,2025-06-09,2025-07-21,False,8014.47,2025-06-12,2025-07-08T16:29:04.643774
ORD-688eb5b1,S001,Reed-Houston AeroFuel,Fuel,FL3869,AC7432,2025-06-18,2025-07-08,False,1462.59,2025-06-12,2025-07-08T16:29:04.643857
ORD-3e006671,S004,Morris Inc Aircraft Maintenance,Maintenance,FL3869,AC7432,2025-06-12,2025-07-13,False,7750.17,2025-06-12,2025-07-08T16:29:04.643892
ORD-1f0e793c,S009,"Heath, Collins and Williams Inflight Catering",Catering,FL3869,AC7432,2025-06-08,2025-07-19,False,5413.71,2025-06-12,2025-07-08T16:29:04.643924
ORD-3e5500ed,S002,"Flores, Novak and Morton Aviation Energy",Fuel,FL7806,AC2808,2025-07-02,2025-07-15,False,1342.24,2025-06-12,2025-07-08T16:29:04.644001
ORD-40d4e879,S005,Zamora-Robinson AeroTech,Maintenance,FL7806,AC2808,2025-07-01,2025-07-16,False,5433.84,2025-06-12,2025-07-08T16:29:04.644032
ORD-8ee13b29,S007,Payne-Cunningham CloudCatering,Catering,FL7806,AC2808,2025-06-24,2025-07-08,False,4442.31,2025-06-12,2025-07-08T16:29:04.644062
ORD-053e38a9,S002,"Flores, Novak and Morton Aviation Energy",Fuel,FL7130,AC4674,2025-07-01,2025-07-19,False,7145.7,2025-06-12,2025-07-08T16:29:04.644136
ORD-379ceb44,S004,Morris Inc Aircraft Maintenance,Maintenance,FL7130,AC4674,2025-06-22,2025-07-15,False,20482.86,2025-06-12,2025-07-08T16:29:04.644167
ORD-e6003741,S008,Robinson Inc JetBites,Catering,FL7130,AC4674,2025-06-15,2025-07-18,False,15289.13,2025-06-12,2025-07-08T16:29:04.644196
ORD-6aca5ce0,S003,Barker LLC Fuel Systems,Fuel,FL1549,AC7608,2025-06-27,2025-07-22,False,1366.62,2025-06-12,2025-07-08T16:29:04.644269
ORD-3d564185,S004,Morris Inc Aircraft Maintenance,Maintenance,FL1549,AC7608,2025-07-05,2025-07-15,False,5692.59,2025-06-12,2025-07-08T16:29:04.644299
ORD-f3676e21,S009,"Heath, Collins and Williams Inflight Catering",Catering,FL1549,AC7608,2025-06-20,2025-07-20,False,5652.27,2025-06-12,2025-07-08T16:29:04.644328
