order_id,supplier_id,supplier,service_type,flight_id,aircraft_id,order_date,expected_delivery,status,cost_usd,flight_day,recorded_at
ORD-c3382bd9,S001,GulfEnergy Inc.,Fuel,FL7208,AC3488,2025-06-19,2025-07-07,on-time,,2025-05-26,2025-06-27T18:52:59.360825
ORD-1013a77d,S003,SkyCater Global,Catering,FL7208,AC3488,2025-06-24,2025-07-10,delayed,3842.24,2025-05-26,2025-06-27T18:52:59.361083
ORD-7b371049,S004,JetFuel Partners,Fuel,FL7208,AC3488,2025-06-01,2025-07-08,on-time,,2025-05-26,2025-06-27T18:52:59.361122
ORD-87264e63,S001,GulfEnergy Inc.,Fuel,FL4773,AC1979,2025-06-14,2025-07-07,on-time,,2025-04-07,2025-06-27T18:52:59.361217
ORD-2a0916f3,S003,SkyCater Global,Catering,FL4773,AC1979,2025-06-22,2025-07-07,on-time,8338.84,2025-04-07,2025-06-27T18:52:59.361253
ORD-55963104,S004,JetFuel Partners,Fuel,FL4773,AC1979,2025-06-24,2025-07-06,on-time,,2025-04-07,2025-06-27T18:52:59.361286
ORD-7355c96a,S005,AviaClean Services,Maintenance,FL4773,AC1979,2025-06-23,2025-06-30,on-time,2910.55,2025-04-07,2025-06-27T18:52:59.361319
ORD-77af0f4d,S006,CloudGrub Ltd.,Catering,FL4773,AC1979,2025-06-16,2025-07-11,on-time,9262.77,2025-04-07,2025-06-27T18:52:59.361357
ORD-1ecd5960,S001,GulfEnergy Inc.,Fuel,FL8734,AC4136,2025-06-04,2025-07-05,on-time,,2025-06-20,2025-06-27T18:52:59.361430
ORD-8d71b79e,S004,JetFuel Partners,Fuel,FL8734,AC4136,2025-06-05,2025-07-04,delayed,,2025-06-20,2025-06-27T18:52:59.361463
ORD-2cc624bd,S006,CloudGrub Ltd.,Catering,FL8734,AC4136,2025-06-22,2025-07-06,on-time,4823.51,2025-06-20,2025-06-27T18:52:59.361495
ORD-cfe97fc3,S001,GulfEnergy Inc.,Fuel,FL2825,AC3488,2025-06-08,2025-07-04,on-time,,2025-06-11,2025-06-27T18:52:59.361564
ORD-2f68377e,S003,SkyCater Global,Catering,FL2825,AC3488,2025-06-13,2025-06-27,on-time,5154.15,2025-06-11,2025-06-27T18:52:59.361597
ORD-16a8ec0d,S004,JetFuel Partners,Fuel,FL2825,AC3488,2025-06-13,2025-07-03,on-time,,2025-06-11,2025-06-27T18:52:59.361629
ORD-9165086e,S001,GulfEnergy Inc.,Fuel,FL1288,AC9519,2025-06-01,2025-07-09,on-time,,2025-04-07,2025-06-27T18:52:59.361694
ORD-d7971457,S002,AeroTech Repairs,Maintenance,FL1288,AC9519,2025-06-06,2025-07-06,on-time,2090.16,2025-04-07,2025-06-27T18:52:59.361727
ORD-6c0668a8,S003,SkyCater Global,Catering,FL1288,AC9519,2025-06-12,2025-07-06,on-time,1385.61,2025-04-07,2025-06-27T18:52:59.361759
ORD-1055c3c3,S004,JetFuel Partners,Fuel,FL1288,AC9519,2025-06-20,2025-06-29,on-time,,2025-04-07,2025-06-27T18:52:59.361790
ORD-52865349,S006,CloudGrub Ltd.,Catering,FL1288,AC9519,2025-06-23,2025-07-10,on-time,2286.55,2025-04-07,2025-06-27T18:52:59.361829
ORD-27147b99,S001,GulfEnergy Inc.,Fuel,FL9519,AC3488,2025-06-06,2025-07-11,on-time,,2025-05-20,2025-06-27T18:52:59.361894
ORD-721bae40,S002,AeroTech Repairs,Maintenance,FL9519,AC3488,2025-06-03,2025-07-03,on-time,1810.39,2025-05-20,2025-06-27T18:52:59.361927
